"CountryCode","SeriesCode","Year","DESCRIPTION",
"AFG","IT.NET.USER.ZS","YR1990","Source: Ministry of Communications.",
"AFG","IT.NET.USER.ZS","YR2001","Source: ITU estimate.",
"AFG","IT.NET.USER.ZS","YR2002","Source: Ministry of Communications.",
"AFG","IT.NET.USER.ZS","YR2003","Source: Ministry of Communications.",
"AFG","IT.NET.USER.ZS","YR2004","Source: Ministry of Communications.",
"AFG","IT.NET.USER.ZS","YR2005","Source: Ministry of Communications.",
"AFG","IT.NET.USER.ZS","YR2006","Source: Ministry of Communications.",
"AFG","IT.NET.USER.ZS","YR2007","Source: ITU estimate.; ITU estimate.; ITU estimate.",
"AFG","IT.NET.USER.ZS","YR2008","Source: Ministry of Communications & Information Technology",
"AFG","IT.NET.USER.ZS","YR2009","Source: Ministry of Communications & Information Technology",
"AFG","IT.NET.USER.ZS","YR2010","Source: ITU estimate.",
"AFG","IT.NET.USER.ZS","YR2011","Source: ITU estimate.",
"AFG","IT.NET.USER.ZS","YR2012","Source: ITU estimate.",
"AFG","IT.NET.USER.ZS","YR2013","Source: ITU estimate.",
"AFG","IT.NET.USER.ZS","YR2014","Source: ITU estimate.",
"AFG","IT.NET.USER.ZS","YR2015","Source: ITU estimate.",
"AFG","IT.NET.USER.ZS","YR2016","Source: Asia Foundation;Note: 18+",
"AFG","IT.NET.USER.ZS","YR2017","Source: Asia Foundation;Note: 18+",
"AFG","SE.ADT.LITR.ZS","YR2018","UIS Estimation",
"AFG","SE.ENR.PRSC.FM.ZS","YR2001","Should be treated as NIL",
"AFG","SE.ENR.PRSC.FM.ZS","YR2003","UIS Estimation",
"AFG","SH.DYN.MORT","YR1960","Uncertainty bound is 303.6 - 425.4",
"AFG","SH.DYN.MORT","YR1961","Uncertainty bound is 303 - 412.4",
"AFG","SH.DYN.MORT","YR1962","Uncertainty bound is 301.3 - 401.5",
"AFG","SH.DYN.MORT","YR1963","Uncertainty bound is 298.2 - 391.5",
"AFG","SH.DYN.MORT","YR1964","Uncertainty bound is 294.8 - 382.6",
"AFG","SH.DYN.MORT","YR1965","Uncertainty bound is 290.2 - 374.8",
"AFG","SH.DYN.MORT","YR1966","Uncertainty bound is 286.1 - 367.3",
"AFG","SH.DYN.MORT","YR1967","Uncertainty bound is 281 - 361.2",
"AFG","SH.DYN.MORT","YR1968","Uncertainty bound is 276.3 - 355.5",
"AFG","SH.DYN.MORT","YR1969","Uncertainty bound is 271.2 - 349.8",
"AFG","SH.DYN.MORT","YR1970","Uncertainty bound is 266.4 - 344.6",
"AFG","SH.DYN.MORT","YR1971","Uncertainty bound is 262.1 - 338.5",
"AFG","SH.DYN.MORT","YR1972","Uncertainty bound is 257.4 - 332.3",
"AFG","SH.DYN.MORT","YR1973","Uncertainty bound is 252.8 - 325.6",
"AFG","SH.DYN.MORT","YR1974","Uncertainty bound is 248.1 - 318.8",
"AFG","SH.DYN.MORT","YR1975","Uncertainty bound is 243.4 - 312.4",
"AFG","SH.DYN.MORT","YR1976","Uncertainty bound is 238.7 - 305",
"AFG","SH.DYN.MORT","YR1977","Uncertainty bound is 233.7 - 297.8",
"AFG","SH.DYN.MORT","YR1978","Uncertainty bound is 228.4 - 290.2",
"AFG","SH.DYN.MORT","YR1979","Uncertainty bound is 223.2 - 282.7",
"AFG","SH.DYN.MORT","YR1980","Uncertainty bound is 217.7 - 275.3",
"AFG","SH.DYN.MORT","YR1981","Uncertainty bound is 212.2 - 267.4",
"AFG","SH.DYN.MORT","YR1982","Uncertainty bound is 207.1 - 259.7",
"AFG","SH.DYN.MORT","YR1983","Uncertainty bound is 201.7 - 251.8",
"AFG","SH.DYN.MORT","YR1984","Uncertainty bound is 196.2 - 243.6",
"AFG","SH.DYN.MORT","YR1985","Uncertainty bound is 190.6 - 235.3",
"AFG","SH.DYN.MORT","YR1986","Uncertainty bound is 185.1 - 227",
"AFG","SH.DYN.MORT","YR1987","Uncertainty bound is 179.7 - 218.8",
"AFG","SH.DYN.MORT","YR1988","Uncertainty bound is 174.2 - 210.7",
"AFG","SH.DYN.MORT","YR1989","Uncertainty bound is 168.6 - 202.7",
"AFG","SH.DYN.MORT","YR1990","Uncertainty bound is 163.2 - 194.8",
"AFG","SH.DYN.MORT","YR1991","Uncertainty bound is 157.8 - 187.4",
"AFG","SH.DYN.MORT","YR1992","Uncertainty bound is 152.6 - 180.5",
"AFG","SH.DYN.MORT","YR1993","Uncertainty bound is 147.7 - 174.1",
"AFG","SH.DYN.MORT","YR1994","Uncertainty bound is 143.1 - 168.1",
"AFG","SH.DYN.MORT","YR1995","Uncertainty bound is 139 - 162.4",
"AFG","SH.DYN.MORT","YR1996","Uncertainty bound is 134.9 - 157.2",
"AFG","SH.DYN.MORT","YR1997","Uncertainty bound is 131 - 152.5",
"AFG","SH.DYN.MORT","YR1998","Uncertainty bound is 127.4 - 147.9",
"AFG","SH.DYN.MORT","YR1999","Uncertainty bound is 123.7 - 143.4",
"AFG","SH.DYN.MORT","YR2000","Uncertainty bound is 120.1 - 139.2",
"AFG","SH.DYN.MORT","YR2001","Uncertainty bound is 116.4 - 135",
"AFG","SH.DYN.MORT","YR2002","Uncertainty bound is 112.6 - 130.6",
"AFG","SH.DYN.MORT","YR2003","Uncertainty bound is 108.7 - 126",
"AFG","SH.DYN.MORT","YR2004","Uncertainty bound is 104.8 - 121.4",
"AFG","SH.DYN.MORT","YR2005","Uncertainty bound is 100.7 - 116.8",
"AFG","SH.DYN.MORT","YR2006","Uncertainty bound is 96.7 - 112.3",
"AFG","SH.DYN.MORT","YR2007","Uncertainty bound is 92.8 - 107.8",
"AFG","SH.DYN.MORT","YR2008","Uncertainty bound is 88.6 - 103.5",
"AFG","SH.DYN.MORT","YR2009","Uncertainty bound is 84.5 - 99.5",
"AFG","SH.DYN.MORT","YR2010","Uncertainty bound is 80.4 - 95.9",
"AFG","SH.DYN.MORT","YR2011","Uncertainty bound is 76.4 - 92.4",
"AFG","SH.DYN.MORT","YR2012","Uncertainty bound is 72.4 - 89.2",
"AFG","SH.DYN.MORT","YR2013","Uncertainty bound is 68.3 - 86.2",
"AFG","SH.DYN.MORT","YR2014","Uncertainty bound is 64.4 - 83.4",
"AFG","SH.DYN.MORT","YR2015","Uncertainty bound is 60.6 - 80.9",
"AFG","SH.DYN.MORT","YR2016","Uncertainty bound is 56.8 - 78.4",
"AFG","SH.DYN.MORT","YR2017","Uncertainty bound is 53.4 - 76.6",
"AFG","SH.DYN.MORT","YR2018","Uncertainty bound is 50.2 - 75.3",
"AFG","SH.DYN.MORT","YR2019","Uncertainty bound is 47.1 - 74.6",
"AFG","SH.DYN.MORT","YR2020","Uncertainty bound is 44.2 - 74.2",
"AFG","SH.STA.OWAD.ZS","YR1975","Plausible bound is 3.8 - 9",
"AFG","SH.STA.OWAD.ZS","YR1976","Plausible bound is 4 - 9.3",
"AFG","SH.STA.OWAD.ZS","YR1977","Plausible bound is 4.2 - 9.5",
"AFG","SH.STA.OWAD.ZS","YR1978","Plausible bound is 4.5 - 9.7",
"AFG","SH.STA.OWAD.ZS","YR1979","Plausible bound is 4.7 - 9.9",
"AFG","SH.STA.OWAD.ZS","YR1980","Plausible bound is 5 - 10.2",
"AFG","SH.STA.OWAD.ZS","YR1981","Plausible bound is 5.3 - 10.5",
"AFG","SH.STA.OWAD.ZS","YR1982","Plausible bound is 5.5 - 10.7",
"AFG","SH.STA.OWAD.ZS","YR1983","Plausible bound is 5.8 - 11",
"AFG","SH.STA.OWAD.ZS","YR1984","Plausible bound is 6 - 11.3",
"AFG","SH.STA.OWAD.ZS","YR1985","Plausible bound is 6.3 - 11.6",
"AFG","SH.STA.OWAD.ZS","YR1986","Plausible bound is 6.6 - 11.9",
"AFG","SH.STA.OWAD.ZS","YR1987","Plausible bound is 6.9 - 12.3",
"AFG","SH.STA.OWAD.ZS","YR1988","Plausible bound is 7.2 - 12.6",
"AFG","SH.STA.OWAD.ZS","YR1989","Plausible bound is 7.5 - 12.9",
"AFG","SH.STA.OWAD.ZS","YR1990","Plausible bound is 7.8 - 13.3",
"AFG","SH.STA.OWAD.ZS","YR1991","Plausible bound is 8.1 - 13.6",
"AFG","SH.STA.OWAD.ZS","YR1992","Plausible bound is 8.5 - 14",
"AFG","SH.STA.OWAD.ZS","YR1993","Plausible bound is 8.8 - 14.4",
"AFG","SH.STA.OWAD.ZS","YR1994","Plausible bound is 9.1 - 14.8",
"AFG","SH.STA.OWAD.ZS","YR1995","Plausible bound is 9.5 - 15.2",
"AFG","SH.STA.OWAD.ZS","YR1996","Plausible bound is 9.8 - 15.6",
"AFG","SH.STA.OWAD.ZS","YR1997","Plausible bound is 10.2 - 16.1",
"AFG","SH.STA.OWAD.ZS","YR1998","Plausible bound is 10.6 - 16.5",
"AFG","SH.STA.OWAD.ZS","YR1999","Plausible bound is 11 - 17",
"AFG","SH.STA.OWAD.ZS","YR2000","Plausible bound is 11.4 - 17.4",
"AFG","SH.STA.OWAD.ZS","YR2001","Plausible bound is 11.8 - 18",
"AFG","SH.STA.OWAD.ZS","YR2002","Plausible bound is 12.2 - 18.4",
"AFG","SH.STA.OWAD.ZS","YR2003","Plausible bound is 12.6 - 18.9",
"AFG","SH.STA.OWAD.ZS","YR2004","Plausible bound is 13.1 - 19.5",
"AFG","SH.STA.OWAD.ZS","YR2005","Plausible bound is 13.5 - 20",
"AFG","SH.STA.OWAD.ZS","YR2006","Plausible bound is 14 - 20.6",
"AFG","SH.STA.OWAD.ZS","YR2007","Plausible bound is 14.4 - 21.2",
"AFG","SH.STA.OWAD.ZS","YR2008","Plausible bound is 14.9 - 21.8",
"AFG","SH.STA.OWAD.ZS","YR2009","Plausible bound is 15.4 - 22.4",
"AFG","SH.STA.OWAD.ZS","YR2010","Plausible bound is 15.8 - 23.1",
"AFG","SH.STA.OWAD.ZS","YR2011","Plausible bound is 16.3 - 23.9",
"AFG","SH.STA.OWAD.ZS","YR2012","Plausible bound is 16.7 - 24.6",
"AFG","SH.STA.OWAD.ZS","YR2013","Plausible bound is 17.2 - 25.4",
"AFG","SH.STA.OWAD.ZS","YR2014","Plausible bound is 17.7 - 26.2",
"AFG","SH.STA.OWAD.ZS","YR2015","Plausible bound is 18.1 - 27",
"AFG","SH.STA.OWAD.ZS","YR2016","Plausible bound is 18.5 - 27.8",
"AFG","SI.POV.NAHC","YR2007    ","Source: National Statistics and Information Authority (NSIA, formerly CSO)  NRVA 2007-08 Poverty report (http://cso.gov.af/Content/files/ALCS/ALCS%202016-17%20Analysis%20report%20-%20Full%20report23%20_09%202018-ilovepdf-compressed.pdf). Poverty line is absolute. Government estimate.",
"AFG","SI.POV.NAHC","YR2011    ","Source: National Statistics and Information Authority (NSIA, formerly CSO)  NRVA 2011-12 Poverty report (http://cso.gov.af/Content/files/ALCS/ALCS%202016-17%20Analysis%20report%20-%20Full%20report23%20_09%202018-ilovepdf-compressed.pdf). Poverty line is absolute. Government estimate.",
"AFG","SI.POV.NAHC","YR2016","Source: National Statistics and Information Authority (NSIA, formerly CSO)  ALCS 2016-17 Poverty report (http://cso.gov.af/Content/files/ALCS/ALCS%202016-17%20Analysis%20report%20-%20Full%20report23%20_09%202018-ilovepdf-compressed.pdf). Poverty line is absolute. Government estimate.",
"AFG","SL.TLF.0714.ZS","YR2011","Multiple Indicator Cluster Survey (MICS).",
"AFG","SP.UWT.TFRT","YR2015","Source: Demographic and Health Survey 2015",
"AFG","SP.UWT.TFRT","YR2016","Married or in-union women ages15-49. Source: Afghanistan 2015 Demographic and Health Survey",
"AGO","IT.NET.USER.ZS","YR2007","Source: ITU estimate.",
"AGO","IT.NET.USER.ZS","YR2008","Source: ITU estimate.",
"AGO","IT.NET.USER.ZS","YR2009","Source: ITU estimate.",
"AGO","IT.NET.USER.ZS","YR2010","Source: ITU estimate.",
"AGO","IT.NET.USER.ZS","YR2011","Source: ITU estimate.",
"AGO","IT.NET.USER.ZS","YR2012","Source: ITU estimate.",
"AGO","IT.NET.USER.ZS","YR2013","Source: ITU estimate.",
"AGO","IT.NET.USER.ZS","YR2014","Source: Instituto Nacional de Estatística.;Note: 2014 Census. Share of population aged 5+ accessing the Internet in the past 12 months.",
"AGO","IT.NET.USER.ZS","YR2015","Source: ITU estimate.",
"AGO","IT.NET.USER.ZS","YR2016","Source: ITU estimate.",
"AGO","IT.NET.USER.ZS","YR2017","Source: ITU estimate.",
"AGO","SH.DYN.MORT","YR1980","Uncertainty bound is 181.6 - 311.4",
"AGO","SH.DYN.MORT","YR1981","Uncertainty bound is 185.6 - 296.3",
"AGO","SH.DYN.MORT","YR1982","Uncertainty bound is 188.5 - 284.7",
"AGO","SH.DYN.MORT","YR1983","Uncertainty bound is 190.6 - 276.6",
"AGO","SH.DYN.MORT","YR1984","Uncertainty bound is 192.2 - 270.1",
"AGO","SH.DYN.MORT","YR1985","Uncertainty bound is 193.8 - 264",
"AGO","SH.DYN.MORT","YR1986","Uncertainty bound is 195.2 - 259.4",
"AGO","SH.DYN.MORT","YR1987","Uncertainty bound is 195.9 - 255.7",
"AGO","SH.DYN.MORT","YR1988","Uncertainty bound is 196.8 - 253.3",
"AGO","SH.DYN.MORT","YR1989","Uncertainty bound is 197.3 - 252",
"AGO","SH.DYN.MORT","YR1990","Uncertainty bound is 197.5 - 251.1",
"AGO","SH.DYN.MORT","YR1991","Uncertainty bound is 197.9 - 250.1",
"AGO","SH.DYN.MORT","YR1992","Uncertainty bound is 198.3 - 249.7",
"AGO","SH.DYN.MORT","YR1993","Uncertainty bound is 198.2 - 249.5",
"AGO","SH.DYN.MORT","YR1994","Uncertainty bound is 197.9 - 249.4",
"AGO","SH.DYN.MORT","YR1995","Uncertainty bound is 197.2 - 248.8",
"AGO","SH.DYN.MORT","YR1996","Uncertainty bound is 195.5 - 247.6",
"AGO","SH.DYN.MORT","YR1997","Uncertainty bound is 192.9 - 244.9",
"AGO","SH.DYN.MORT","YR1998","Uncertainty bound is 189 - 241.7",
"AGO","SH.DYN.MORT","YR1999","Uncertainty bound is 184.5 - 237.8",
"AGO","SH.DYN.MORT","YR2000","Uncertainty bound is 179.3 - 233",
"AGO","SH.DYN.MORT","YR2001","Uncertainty bound is 173 - 227",
"AGO","SH.DYN.MORT","YR2002","Uncertainty bound is 166.2 - 220.3",
"AGO","SH.DYN.MORT","YR2003","Uncertainty bound is 158.2 - 212.6",
"AGO","SH.DYN.MORT","YR2004","Uncertainty bound is 149.1 - 205.1",
"AGO","SH.DYN.MORT","YR2005","Uncertainty bound is 138.6 - 197.7",
"AGO","SH.DYN.MORT","YR2006","Uncertainty bound is 127.2 - 190.6",
"AGO","SH.DYN.MORT","YR2007","Uncertainty bound is 115.7 - 183.9",
"AGO","SH.DYN.MORT","YR2008","Uncertainty bound is 104.2 - 178",
"AGO","SH.DYN.MORT","YR2009","Uncertainty bound is 92.8 - 172.9",
"AGO","SH.DYN.MORT","YR2010","Uncertainty bound is 82.3 - 168.2",
"AGO","SH.DYN.MORT","YR2011","Uncertainty bound is 72.4 - 164.2",
"AGO","SH.DYN.MORT","YR2012","Uncertainty bound is 63.5 - 159.6",
"AGO","SH.DYN.MORT","YR2013","Uncertainty bound is 56 - 156.7",
"AGO","SH.DYN.MORT","YR2014","Uncertainty bound is 49.9 - 153.6",
"AGO","SH.DYN.MORT","YR2015","Uncertainty bound is 45.4 - 150.6",
"AGO","SH.DYN.MORT","YR2016","Uncertainty bound is 41.7 - 148.4",
"AGO","SH.DYN.MORT","YR2017","Uncertainty bound is 38.8 - 146.3",
"AGO","SH.DYN.MORT","YR2018","Uncertainty bound is 36 - 144.5",
"AGO","SH.DYN.MORT","YR2019","Uncertainty bound is 33.6 - 143.2",
"AGO","SH.DYN.MORT","YR2020","Uncertainty bound is 31.4 - 141.2",
"AGO","SH.STA.OWAD.ZS","YR1975","Plausible bound is 5.2 - 12.3",
"AGO","SH.STA.OWAD.ZS","YR1976","Plausible bound is 5.5 - 12.5",
